Supply 12/01/2022undefined,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,4163,4146,4162,4180,4144,4092,4052,4023,4032,4025,4017,4003,3938,3909,3914,3921,3921,3971,4019,4049,4097,4116,4079,4075,4102,4128,4097,4125,4175,4212,4194,4188,4233,4232,4209,4197,4182,4210,4233,4230,4214,4186,4179,4196,4225,4293,4328,4330,4314,4284,4269,4230,4243,4326,4378,4414,4439,4453,4495,4543,4621,4638,4663,4655,4663,4713,4743,4733,4763,4854,4961,4990,4989,4949,4955,4919,4838,4826,4851,4894,4975,5145,5274,5398,5541,5640,5790,5828,6014,6233,6275,6465,6741,6973,7216,7327,7323,7373,7528,7728,7807,7936,8073,8211,8236,7984,8219,8472,8505,8519,8692,8698,8690,8875,9131,9460,9786,9938,9635,9814,10018,10457,10754,10728,10564,10695,10595,10746,10846,10932,11269,11126,11197,11235,11115,11355,11283,11244,11401,11544,11736,11752,11585,11498,11362,11487,11533,11712,11694,12089,12193,12433,11914,11526,11528,11777,11772,11662,11700,11450,11472,11356,11498,11419,11568,11576,11437,11375,10808,10600,10646,10206,9975,10134,9869,9672,9205,8927,8841,8609,8436,8136,7806,7406,7210,6825,6389,6219,6128,6037,5820,5630,5442,5271,5118,4993,4920,4912,4895,4898,4810,4848,4869,4943,5071,5118,5144,5051,5188,5286,5342,5356,5366,5322,5294,5346,5400,5449,5539,5534,5505,5556,5597,5616,5681,5744,5770,5758,5723,5749,5743,5727,5660,5676,5681,5650,5581,5507,5470,5475,5510,5536,5538,5489,5402,5363,5315,5328,5293,5274,5265,5232,5304,5247,5206,5191,5191,5181,5212,5237,5221,5241,5239,5234,5211,5161,5143,5162,5213,5200,5191,5152,5127,5099,5061,5037,5002,4969,4972,4967,4928,4924,4971,5006,4994,4984,4996,5024,
Natural gas,10721,10529,10256,10185,10074,10144,10258,10445,10485,10396,10340,10327,10416,10421,10282,10182,10441,10195,10260,9900,10140,10099,10022,9955,10000,9820,9744,9715,9640,9613,9774,9759,9710,9719,9817,9833,9855,10058,10183,10189,10298,10148,10091,10231,10296,10377,10369,10322,10396,10380,10409,10466,10527,10493,10689,11031,11237,11391,11505,11643,11551,11074,10586,10390,10514,10891,11223,11554,11583,11619,11796,11939,12068,11980,11927,11874,11833,11900,11920,11994,12068,12193,12247,12246,12119,12366,12461,12447,12353,12325,12360,12327,12411,12524,12533,12459,12237,11996,11964,12165,12269,12365,12490,12567,12635,12532,12498,12667,12635,12664,12880,12996,12963,12931,12894,12999,13258,13823,13159,12739,13043,13173,13053,12839,12596,12545,12624,12532,12320,12148,12289,12274,12228,12351,12223,12286,12334,12220,12338,12537,12440,12340,12257,11977,11866,11612,11695,11803,11805,11918,11868,11602,11401,11598,11396,11434,11549,11485,11487,11364,11307,11269,11221,11154,11196,11239,11226,11268,11172,11164,11209,11290,11373,11311,11576,11642,11696,12027,12326,12660,12858,12704,12676,12728,12864,13190,13177,13480,13786,13737,13761,13808,13755,13759,13692,13557,13626,13673,13735,14203,14393,14417,14545,14608,14765,15067,15435,15465,15513,15538,15550,15490,15423,15423,15309,15271,15195,14902,14757,14739,14636,14572,14469,14507,14506,14528,14688,14765,14706,14491,14361,14269,14235,14213,14260,14435,14515,14552,14525,14614,14591,14697,14775,14458,14290,14248,14247,14187,14192,14104,13987,13932,13886,13977,14010,14044,13829,13786,13666,13397,13305,13301,13204,13017,12939,12843,12835,12801,12607,12545,12556,12509,12456,12395,12349,12392,12464,12366,12339,12557,12311,12156,12136,12061,12132,12223,12323,12319
Large hydro,930,959,990,995,973,996,955,901,805,750,740,740,729,656,703,630,608,608,602,604,609,605,605,607,603,692,735,745,718,712,716,716,717,716,715,711,706,635,611,605,599,601,601,606,607,605,594,594,605,609,632,629,634,640,637,638,639,637,642,652,710,888,970,1000,1007,1005,1006,1011,1019,1036,1030,1067,1189,1335,1398,1410,1409,1411,1408,1412,1412,1416,1427,1425,1382,1273,1263,1325,1380,1293,1241,1236,1239,1230,1230,1222,1155,1029,920,786,770,746,731,742,734,737,735,739,738,725,699,691,683,593,536,523,521,594,611,543,501,551,575,578,574,504,490,498,500,489,488,498,459,477,493,498,477,458,461,460,455,457,465,464,491,465,454,463,459,458,459,458,475,523,533,488,479,486,493,479,454,452,454,470,454,462,489,504,513,496,476,501,499,486,510,501,497,524,540,533,577,669,750,779,797,817,823,825,827,776,811,889,1066,1257,1408,1472,1517,1536,1520,1540,1560,1567,1568,1588,1603,1517,1445,1473,1500,1517,1542,1632,1695,1709,1707,1697,1672,1657,1619,1647,1678,1675,1680,1673,1677,1671,1654,1650,1658,1653,1633,1644,1649,1639,1642,1601,1590,1613,1597,1564,1539,1358,1258,1308,1342,1338,1345,1311,1327,1333,1329,1303,1281,1342,1350,1343,1342,1335,1327,1303,1300,1309,1325,1312,1205,1072,977,992,1000,968,946,941,942,932,922,918,910,909,903,906,902,890,891,884,889,882,873,855
Imports,5471,5780,5984,5926,5975,5773,5632,5521,5610,5605,5560,5556,5427,5663,5753,5592,5567,5464,5570,5658,5661,5718,5810,5785,5645,5487,5411,5348,5537,5458,5588,5592,5535,5542,5451,5351,5399,5531,5480,5344,5324,5327,5189,5132,5092,5018,4921,4875,4932,4974,4944,4896,4873,4831,4643,4431,4261,4117,4043,3948,4038,4238,4403,4485,4416,4135,3959,3778,3702,3547,3298,3144,3232,3506,3679,3948,4029,3975,4019,3973,3946,3804,3832,3738,3863,3787,3848,4080,3956,3933,4102,3978,4010,3994,3987,3855,3603,3617,3583,3140,3260,3157,3221,3183,3107,3139,2957,3062,3158,3416,3659,3698,3815,3849,3791,3805,3870,4129,4028,3826,3777,3544,3595,3779,4350,4401,4338,4137,4106,4229,4003,3999,3879,4056,4123,4011,3996,4003,4010,3982,3950,3965,4153,4124,4079,3528,3307,3132,3339,3027,3011,2932,2934,2962,2888,2898,3092,3308,3369,3433,3322,3385,3426,3565,3404,3319,3372,3356,3560,3712,3892,4198,4425,4205,4396,4133,4050,3849,3794,3731,4070,4695,4882,5043,5092,5158,5252,5076,4973,4857,4739,4568,4774,5453,5681,5800,5808,5737,5765,5525,5486,5358,5058,4993,4894,4813,5075,5203,5319,5264,5237,5329,5394,5385,5464,5417,5552,5708,5823,5793,5876,5821,5887,5794,5743,5650,5715,5794,5788,5626,5591,5494,5424,5347,5348,5076,5112,5159,5200,5288,5090,4628,4652,4667,4825,4849,4918,4956,5060,5180,5386,5558,5440,5094,5069,5124,5239,5385,5496,5686,5730,5694,5722,5672,5541,5626,5569,5484,5621,5635,5638,5597,5579,5576,5516,5438,5382,5144,5092,5154,5407,5378,5410,5366,5468,5445,5400,5350
Batteries,-86,-111,-96,-73,-39,8,-2,-54,-121,-31,-3,3,-13,-207,-201,-69,-212,-61,-247,-123,-374,-429,-423,-404,-389,-182,-130,-131,-288,-198,-394,-427,-379,-413,-452,-440,-498,-642,-659,-578,-651,-529,-449,-511,-547,-601,-561,-495,-549,-483,-419,-374,-390,-400,-426,-495,-485,-460,-481,-486,-473,-309,-110,8,60,26,-15,26,143,244,384,526,354,559,610,605,783,912,944,1051,1128,1119,1012,1115,1085,1273,1221,1091,1154,1060,1001,1026,740,550,333,411,896,1251,1430,1576,1385,1251,1062,929,854,1146,1074,780,691,575,279,126,66,-34,21,-243,-614,-1140,-670,-405,-592,-662,-889,-869,-914,-906,-845,-837,-826,-884,-964,-945,-861,-996,-948,-1022,-943,-930,-1087,-1278,-1320,-1341,-1266,-1048,-854,-618,-628,-657,-719,-874,-836,-788,-335,-175,0,-271,-526,-510,-531,-229,-88,-39,-244,-324,-323,-282,-217,-153,93,162,-94,-54,-24,20,-146,46,326,433,297,289,77,-100,-69,-3,29,139,412,572,584,859,1144,1377,1277,645,448,525,618,723,774,693,751,1007,1386,1522,1485,1422,1177,1166,926,899,891,800,696,744,760,826,693,635,500,479,502,491,479,589,561,549,381,295,321,400,431,539,700,708,644,906,859,799,673,502,637,1097,1031,1088,1084,1077,1024,960,821,684,483,371,417,681,686,611,565,408,295,278,234,129,65,131,262,224,268,241,111,78,14,-27,-78,-85,-91,-129,-172,-12,-58,-267,-300,-239,-329,-374,-492,-572,-665,-697
Nuclear,2257,2256,2255,2254,2254,2254,2254,2255,2254,2255,2255,2255,2254,2254,2255,2255,2256,2256,2257,2257,2257,2256,2258,2257,2257,2257,2258,2257,2257,2257,2257,2257,2257,2257,2256,2256,2255,2257,2256,2257,2256,2256,2257,2256,2256,2257,2257,2257,2256,2257,2256,2256,2257,2257,2257,2256,2257,2257,2258,2257,2257,2257,2258,2258,2257,2257,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2255,2256,2255,2255,2256,2256,2256,2255,2255,2255,2255,2256,2256,2256,2256,2255,2255,2255,2255,2255,2253,2254,2255,2255,2255,2255,2255,2256,2256,2256,2256,2256,2256,2255,2257,2257,2257,2257,2257,2257,2257,2257,2257,2256,2256,2255,2255,2255,2255,2256,2255,2256,2255,2256,2255,2256,2255,2255,2255,2255,2256,2256,2256,2255,2257,2257,2257,2258,2258,2257,2257,2257,2257,2257,2257,2257,2257,2257,2256,2257,2256,2256,2255,2256,2256,2257,2256,2257,2257,2257,2256,2256,2256,2255,2256,2256,2256,2256,2255,2256,2256,2255,2256,2255,2255,2256,2256,2256,2256,2256,2256,2255,2256,2254,2254,2255,2253,2253,2253,2253,2254,2254,2254,2254,2253,2253,2253,2253,2254,2253,2253,2254,2254,2254,2254,2254,2253,2254,2255,2255,2254,2254,2255,2254,2255,2255,2255,2255,2255,2256,2255,2256,2254,2254,2253,2255,2255,2255,2255,2255,2255,2255,2255,2254,2253,2255,2255,2254,2255,2255,2254,2254,2255,2255,2255,2254,2254,2253,2253,2252,2253,2253,2253,2252,2253,2253,2254,2254,2252,2252,2252,2253,2254,2253,2254,2254,2253,2254,2253,2253,2252,2252,2253,2253,2253,2252,2253,2252,2253,2252,2252
Coal,-5,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-5,-6,-6,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-6,-6,-5,-6,-5,-5,-5,-5,-5,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-6,-6,-6,-7,-6,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-6,-5,-5,-5,-6,-5,-6,-6,-6,-5,-5,-6,-6,-6,-6,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-5,-5,-5,-5,-6,-5,-5,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-5,-6,-6,-6,-6,-5,-6,-6,-5,-5,-5,-5,-6,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
