Supply 11/30/2022undefined,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,1823,1819,1797,1789,1789,1802,1814,1823,1826,1837,1839,1847,1850,1845,1835,1834,1833,1829,1820,1810,1815,1811,1802,1802,1810,1816,1814,1814,1812,1821,1836,1841,1825,1785,1771,1761,1754,1749,1744,1744,1757,1766,1776,1783,1787,1793,1793,1791,1784,1789,1817,1825,1836,1846,1850,1852,1840,1828,1824,1827,1823,1810,1804,1803,1804,1802,1802,1808,1803,1795,1793,1782,1786,1775,1763,1757,1760,1761,1768,1791,1852,1933,2070,2241,2469,2741,3079,3514,3923,4396,4892,5331,5772,6361,6881,7358,7860,8425,8907,9362,9721,10058,10435,10720,11089,11288,11565,11716,11915,12051,12155,12199,12256,12346,12408,12469,12507,12508,12531,12572,12612,12562,12479,12490,12401,12334,12324,12366,12305,12439,12456,12430,12372,12286,12350,12350,12339,12406,12427,12397,12400,12388,12373,12352,12353,12316,12320,12347,12400,12461,12508,12526,12544,12584,12631,12650,12685,12716,12732,12800,12809,12837,12838,12793,12755,12725,12732,12760,12703,12653,12548,12528,12472,12423,12324,12162,11970,11735,11428,11074,10675,10180,9706,9241,8743,8251,7733,7213,6676,6104,5552,5052,4574,4133,3736,3443,3207,3012,2848,2785,2772,2772,2745,2731,2750,2726,2695,2675,2678,2674,2666,2663,2658,2644,2626,2629,2632,2613,2585,2572,2610,2626,2623,2647,2651,2657,2675,2698,2714,2714,2709,2734,2759,2809,2847,2865,2887,2884,2876,2881,2928,2975,2984,3002,3054,3103,3111,3087,3093,3070,3052,3071,3126,3185,3217,3222,3222,3242,3227,3228,3257,3274,3280,3293,3324,3349,3320,3294,3326,3358,3401,3449,3482,3461,3471,3497,3520,3581,3634,3717,3844,3897,3924,3973,4038,4130,4175,4185,
Natural gas,12989,12902,12866,12960,12846,12610,12531,12500,12479,12509,12638,12509,12569,12390,12299,12277,12294,12295,12413,12406,12271,12274,12327,12474,12524,12602,12613,12643,12646,12648,12614,12597,12634,12660,12634,12664,12686,12758,13044,13035,12974,12956,13018,13022,13008,12948,12912,12944,12963,12787,12707,12568,12555,12575,12692,12757,12840,12896,12694,12647,12692,12727,12687,12833,13471,13352,13241,13547,13788,13824,13815,13805,13835,13674,13708,13890,14044,14196,14252,14259,14205,14233,14206,14239,14264,14389,14399,14346,14269,14131,13730,13026,12729,12630,12221,11774,11402,11403,11349,11243,11092,10691,10298,10015,10078,10199,9750,9215,9173,9584,9407,9458,9428,9366,9336,9151,9091,8744,8327,7886,8065,8616,8953,9042,8662,8635,8727,8673,8538,8736,8992,8856,8770,8582,8364,8273,8178,8151,8041,7966,7947,7967,7955,7954,7990,8150,8305,8627,8326,8173,8145,8063,8033,8003,7985,8125,8288,8489,8479,8524,8528,8314,8170,8256,8223,8009,8125,8235,8161,8034,8065,8072,7991,8104,8222,8218,8224,8344,8477,8874,9537,10148,10643,11015,11212,11287,11302,11558,11757,11940,12407,12667,12820,12898,12925,13271,13762,14320,14712,15098,15199,15319,15402,15618,15704,15535,15364,15565,15663,15695,15779,15760,15841,15862,15797,15672,15642,15623,15600,15571,15447,15379,15293,15136,15141,15104,15131,15169,15125,15001,14966,14908,14749,14736,14765,14747,14700,14735,14728,14719,14710,14630,14622,14580,14177,13855,13767,13679,13650,13611,13532,13513,13441,13527,13635,13737,13733,13620,13452,13004,12861,12841,12817,12784,12802,12739,12690,12393,12154,12135,12158,12115,12063,12101,12118,11997,11854,11848,11681,11639,11749,11761,11762,11658,11477,11281,11227,10996
Large hydro,861,818,781,780,799,781,776,775,775,775,778,773,771,772,772,777,793,767,762,766,767,768,765,762,735,660,632,648,644,630,627,626,627,623,619,625,630,707,765,777,785,789,789,782,782,783,782,779,780,789,802,810,822,818,817,825,828,828,829,898,1032,1150,1226,1236,1239,1245,1250,1247,1256,1261,1288,1306,1353,1549,1643,1669,1698,1749,1763,1756,1762,1767,1778,1772,1691,1466,1335,1327,1330,1289,1269,1263,1277,1282,1272,1266,1155,912,761,747,737,729,731,737,728,734,734,703,667,576,533,546,545,493,483,477,476,478,472,485,495,628,684,756,758,599,504,480,473,472,470,470,468,465,472,487,477,464,465,461,460,461,461,464,474,479,480,546,502,473,470,468,473,469,469,467,469,477,479,479,479,477,477,476,480,474,480,489,506,546,552,568,554,558,555,566,576,575,613,671,677,741,826,822,856,886,898,905,909,912,936,1005,1142,1523,1749,1758,1760,1774,1783,1775,1782,1784,1762,1763,1812,1865,1881,1905,1913,1905,1903,1910,1906,1907,1919,1918,1911,1893,1896,1898,1897,1909,1919,1910,1909,1911,1909,1918,1916,1875,1863,1858,1854,1848,1856,1852,1843,1844,1841,1831,1823,1825,1823,1833,1836,1830,1831,1830,1823,1805,1788,1741,1676,1509,1379,1357,1370,1342,1336,1337,1347,1322,1303,1287,1279,1366,1418,1421,1403,1383,1301,1257,1241,1269,1328,1335,1341,1117,1049,1051,1041,1019,1004,1018,1007,987,922,922
Imports,5244,4915,4840,4963,5090,5088,5077,5180,5238,5272,5398,5479,5345,5139,5033,5036,5031,4987,4897,4914,4902,4900,4848,4895,4884,5025,5034,4954,4926,4896,4911,4900,4807,4824,4833,4837,4872,4861,5058,5063,5034,5026,5016,4999,4998,4994,5018,4955,5025,4818,4819,4761,4718,4742,4694,4667,4627,4518,4483,4480,4719,4996,5028,4980,4688,4812,4862,4722,4627,4610,4623,4669,4650,4908,4854,4796,4824,4897,4917,5017,5121,5125,5076,5097,5095,5167,5189,5169,5191,5060,4873,4880,4614,4372,4156,3915,3735,3950,3944,3605,3292,3048,2787,2799,2796,2731,2577,2389,2312,2549,2667,2777,2774,2680,2637,2802,2732,2799,2486,2405,2349,2261,2137,2092,2035,2016,2051,2127,2063,2077,2053,2088,2168,2131,2155,2276,2325,2294,2308,2232,2175,2126,2094,2069,2085,2153,2168,2463,2445,2091,2112,2063,2041,2053,1966,1905,1844,1912,1996,1988,2070,1953,1916,1925,1938,1933,1935,1940,2035,1989,1992,1997,2004,1995,1984,2067,2012,2040,1982,1855,1951,1857,1792,1798,1888,1994,2230,2478,2620,2720,2660,2656,3032,3746,4055,4168,4163,4274,4220,4231,4087,3985,3886,4025,4339,5086,5369,5444,5497,5585,5677,5646,5595,5620,5701,5731,5645,5506,5476,5495,5517,5574,5603,5658,5605,5611,5531,5667,5743,5823,5872,5828,5767,5923,5959,5954,5923,5978,6086,6140,6134,5980,5969,5882,6001,6184,6346,6424,6392,6451,6561,6556,6545,6623,6625,6476,6459,6551,6672,6897,7027,7033,7096,6966,6867,6562,6437,6531,6524,6409,6456,6388,6310,6297,6279,6204,6117,6057,6008,5791,5751,5659,5633,5529,5614,5599,5724,5759
Batteries,-108,365,471,368,256,318,333,313,219,79,-243,-279,-247,14,119,99,15,13,-14,-122,-98,-104,-143,-251,-297,-370,-344,-336,-339,-338,-334,-327,-331,-343,-324,-367,-402,-445,-725,-723,-693,-684,-705,-691,-672,-629,-598,-581,-578,-335,-263,-106,-84,-87,-106,-94,-55,74,277,340,95,10,79,73,-23,13,85,63,66,135,201,267,363,502,701,758,772,744,777,787,829,872,875,730,668,724,735,541,248,101,155,367,338,156,147,184,205,91,23,-16,-9,122,198,144,-135,-326,-237,79,-6,-387,-423,-611,-703,-715,-780,-858,-858,-755,-414,-267,-482,-767,-992,-1065,-893,-856,-888,-906,-842,-1034,-1194,-1190,-1215,-1121,-1093,-1141,-1170,-1187,-1173,-1084,-1078,-1099,-1017,-995,-1092,-1213,-1330,-1590,-1400,-1182,-1218,-1166,-1151,-1144,-1108,-1160,-1242,-1415,-1451,-1487,-1494,-1311,-1194,-1154,-1096,-1005,-1046,-1061,-962,-781,-749,-713,-601,-585,-529,-486,-338,-243,-65,24,-221,-296,-262,-160,38,302,498,608,847,1186,1482,1847,1760,1179,1032,995,978,869,853,926,1145,1268,1477,1453,1264,864,881,762,748,730,694,764,713,679,726,786,903,1038,1054,1007,1110,1067,1088,1143,1146,1139,1146,997,921,938,924,989,1155,987,876,867,831,720,601,507,439,520,450,499,660,684,562,501,504,429,353,312,303,331,352,370,287,221,222,308,191,63,-14,-17,-47,-17,-46,21,61,77,-41,-86,-106,-189,-277,-286,-242,-226,-151,-114,-274,-298,-349,-336,-369,-353,-442,-365
Nuclear,2255,2255,2255,2254,2254,2255,2255,2255,2255,2255,2255,2255,2256,2255,2255,2255,2255,2255,2255,2255,2256,2255,2255,2256,2255,2256,2255,2256,2255,2256,2256,2257,2257,2256,2257,2256,2257,2257,2257,2257,2258,2258,2258,2258,2258,2258,2256,2257,2256,2256,2255,2255,2255,2256,2258,2256,2257,2257,2257,2258,2256,2258,2257,2257,2257,2258,2257,2257,2257,2258,2257,2258,2257,2256,2256,2256,2256,2256,2256,2256,2256,2256,2255,2256,2255,2255,2254,2255,2255,2255,2255,2254,2254,2255,2256,2255,2255,2256,2256,2256,2256,2255,2256,2256,2255,2255,2255,2254,2255,2255,2255,2255,2256,2256,2255,2256,2256,2257,2256,2257,2256,2255,2256,2255,2256,2256,2257,2256,2257,2257,2257,2256,2255,2255,2255,2255,2255,2255,2256,2254,2254,2255,2255,2254,2255,2254,2253,2254,2253,2255,2255,2255,2256,2256,2255,2255,2256,2255,2255,2255,2255,2256,2256,2255,2255,2255,2255,2255,2254,2255,2256,2255,2254,2255,2256,2255,2256,2256,2256,2257,2256,2257,2258,2257,2256,2256,2256,2256,2256,2255,2253,2252,2254,2252,2253,2253,2252,2253,2252,2253,2253,2253,2253,2254,2255,2253,2254,2254,2254,2253,2254,2254,2253,2253,2253,2253,2253,2252,2253,2252,2252,2251,2250,2251,2250,2251,2252,2251,2251,2251,2252,2250,2251,2251,2251,2251,2252,2252,2252,2252,2251,2251,2253,2252,2252,2253,2253,2252,2252,2252,2253,2253,2253,2254,2255,2255,2254,2255,2255,2255,2255,2255,2255,2255,2255,2254,2256,2257,2257,2257,2258,2258,2257,2257,2258,2258,2258,2257,2257,2257,2257,2257,2258,2257,2257,2258,2257,2257
Coal,-3,-3,-3,-3,-3,-3,-4,-3,-3,-4,-4,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-4,-4,-4,-4,-4,-4,-4,-3,-3,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-5,-6,-5,-5,-5,-5,-6,-7,-7,-7,-6,-5,-5,-5,-5,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,-6,-7,-5,-2,-3,-4,-3,-4,-3,-3,-3,-4,-3,-3,-3,-4,-4,-4,-4,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-4,-4,-4,-3,-4,-4,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-5,-5,-5,-5,-4,-5,-5,-4,-4,-3,-3,-4,-3,-4,-4,-4,-4,-4,-4,-5,-6,-6,-6,-7,-6,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-6,-7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-6,-6,-7,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,-7,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-6,-6,-6,-6,-5,-5,-5,-6,-6,-6,-6,-5,-6,-6
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
