Renewables 11/30/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-44,-45,-45,-47,-46,-45,-45,-45,-46,-46,-46,-44,-43,-43,-45,-46,-45,-44,-45,-45,-44,-45,-44,-44,-45,-44,-45,-44,-45,-45,-45,-45,-45,-45,-45,-45,-44,-46,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-46,-45,-45,-45,-45,-45,-45,-45,-45,-45,-46,-46,-46,-47,-47,-47,-46,-46,-43,-38,-16,42,120,251,419,648,920,1255,1685,2089,2551,3044,3494,3943,4531,5049,5523,6045,6594,7060,7523,7886,8210,8552,8834,9193,9390,9661,9807,9972,10087,10166,10208,10261,10336,10380,10410,10408,10373,10375,10430,10460,10403,10332,10313,10243,10192,10203,10196,10170,10298,10278,10227,10167,10087,10138,10109,10072,10094,10099,10078,10076,10090,10077,10065,10089,10060,10057,10070,10103,10136,10164,10172,10181,10216,10241,10233,10272,10272,10271,10313,10292,10314,10302,10246,10211,10159,10149,10171,10112,10090,10006,9980,9899,9827,9716,9556,9375,9130,8843,8525,8140,7662,7196,6737,6227,5702,5160,4627,4092,3517,2972,2466,1963,1515,1113,794,538,323,164,91,48,16,-19,-53,-49,-47,-44,-42,-41,-41,-41,-41,-41,-41,-42,-41,-41,-41,-41,-41,-42,-41,-41,-39,-39,-39,-39,-39,-39,-39,-40,-40,-40,-41,-39,-40,-40,-41,-40,-42,-41,-43,-44,-44,-43,-43,-43,-43,-43,-43,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44,-44
Wind,289,283,277,274,273,287,299,307,316,325,327,334,335,327,321,321,319,314,306,296,300,297,287,288,297,302,303,302,301,309,322,328,309,270,258,248,238,236,232,231,240,248,259,266,271,280,280,276,270,276,292,303,315,324,327,328,318,306,301,302,297,283,277,276,278,274,274,279,277,272,267,255,248,238,225,219,222,219,219,222,227,232,236,239,241,241,243,249,256,264,269,261,260,261,267,268,247,269,293,287,282,295,327,333,344,345,354,358,394,413,438,439,440,456,475,509,551,585,606,596,601,618,614,640,621,603,583,631,592,596,633,663,664,667,680,704,727,770,787,779,783,801,800,791,770,760,772,784,810,831,849,858,867,875,896,922,919,948,971,989,1017,1025,1036,1046,1044,1068,1084,1088,1092,1063,1043,1042,1062,1080,1090,1088,1079,1084,1062,1034,1021,1005,1002,997,1008,1038,1060,1070,1070,1073,1066,1070,1094,1099,1101,1128,1150,1168,1163,1172,1204,1237,1247,1266,1282,1258,1222,1204,1205,1202,1193,1189,1185,1170,1153,1157,1161,1143,1115,1100,1132,1144,1142,1161,1161,1165,1181,1199,1213,1214,1210,1233,1258,1310,1345,1365,1387,1383,1375,1381,1427,1477,1487,1505,1554,1604,1614,1589,1598,1574,1554,1574,1633,1689,1720,1726,1726,1747,1744,1749,1785,1801,1810,1825,1859,1885,1872,1854,1887,1919,1962,2011,2048,2028,2040,2067,2092,2153,2205,2288,2413,2469,2497,2546,2610,2702,2749,2755
Geothermal,981,982,981,982,982,981,981,982,980,981,981,981,980,982,981,981,982,981,981,981,980,980,981,981,980,981,981,980,982,981,982,981,982,981,981,981,981,982,981,981,982,982,981,981,981,981,980,981,980,980,980,979,980,980,980,980,980,979,979,980,979,981,981,980,980,981,982,981,980,981,981,981,982,980,981,982,981,981,981,981,981,980,980,979,979,978,978,977,976,977,976,974,968,964,961,962,961,962,962,962,962,962,962,961,962,962,960,960,961,961,961,960,961,960,960,959,960,960,959,953,960,959,958,958,957,958,960,958,960,959,960,959,959,953,955,956,959,960,960,960,960,917,917,916,916,916,916,916,915,916,915,915,915,915,914,914,915,915,913,915,914,914,914,914,914,914,914,914,914,914,913,913,913,913,914,913,913,913,914,913,913,913,912,912,913,914,913,913,913,913,913,912,912,912,912,912,912,911,912,912,913,913,911,913,913,913,913,912,913,912,913,914,912,913,913,912,913,913,913,910,913,913,912,912,912,911,911,916,917,919,920,920,920,919,920,919,920,919,919,919,919,918,919,919,920,919,918,918,918,917,918,918,917,917,918,917,918,917,917,917,916,917,916,916,916,916,916,916,916,916,916,916,915,916,916,916,915,916,916,916,917,916,916,915,916,916,916,916
Biomass,247,248,247,247,247,247,246,247,246,246,246,245,247,248,247,246,245,245,244,244,246,246,245,244,245,245,244,245,244,246,246,246,247,246,244,244,246,244,243,243,245,247,248,248,247,245,246,246,246,246,246,245,244,245,246,247,246,248,249,250,251,251,250,251,250,251,251,253,253,251,254,256,264,266,264,263,264,265,267,266,266,264,265,265,263,264,265,265,264,264,263,261,262,266,263,264,264,264,266,265,266,265,266,265,266,268,268,268,265,264,265,267,267,268,267,265,263,265,268,270,266,262,261,265,266,267,266,268,269,272,271,268,268,265,264,266,266,268,268,267,268,267,266,267,266,267,265,267,266,266,266,267,267,265,266,266,264,265,263,265,265,264,266,268,266,264,265,267,265,264,263,261,259,262,264,265,264,267,267,261,259,258,252,253,254,255,259,261,260,258,258,260,263,265,268,267,265,266,266,267,268,268,267,267,266,265,265,264,263,264,264,263,263,263,265,264,262,261,261,266,269,273,272,275,277,281,282,282,282,280,281,282,281,282,281,281,279,282,282,282,282,282,283,283,284,284,284,284,281,283,286,285,283,284,284,283,282,283,273,270,263,264,263,259,256,254,254,252,251,250,251,249,249,249,247,245,244,243,244,244,244,243,243,244,244,243,243,245
Biogas,215,216,216,217,217,217,218,218,218,218,217,217,217,217,217,218,217,217,218,218,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,218,218,218,218,218,218,217,217,218,218,217,218,218,218,218,218,218,217,216,216,217,217,216,216,216,216,216,216,217,216,215,216,215,216,215,215,215,216,216,215,215,215,215,215,215,214,214,214,214,214,215,215,217,215,215,215,215,217,214,214,214,213,213,214,213,211,210,210,211,211,213,212,212,214,213,213,213,213,214,214,214,215,214,214,214,215,214,213,213,214,214,215,214,213,214,214,215,215,214,214,214,214,215,215,215,214,215,214,215,214,215,215,215,216,215,216,216,215,216,215,215,215,214,214,214,214,215,215,215,214,216,215,215,215,217,216,216,215,216,216,215,215,215,216,215,215,216,215,216,215,216,215,216,214,212,212,212,212,213,212,212,212,212,212,212,214,212,213,212,213,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,211,212,212,213,212,212,212,213,213,213,213,213,213,212,213,213,214,214,215,214,214,214,214,214,215,214,214,213,214,214,214,214,214,213,213,214,213,213,214,213,214,214,213,213,214,213,214,211,209,209,210,210,210,210,210,211,210,210,210,210,211,211,211
Small hydro,135,135,121,116,116,115,115,114,112,113,114,114,114,114,114,114,115,116,116,116,116,116,116,116,116,115,114,114,113,113,114,114,115,116,116,116,116,116,116,116,117,116,115,115,115,115,115,115,115,115,126,125,124,124,124,124,124,124,124,124,124,124,125,125,125,125,124,123,122,122,121,121,123,123,125,124,123,123,124,123,121,122,123,124,124,124,124,124,124,125,125,124,124,124,126,126,126,122,112,111,112,113,114,114,113,113,112,112,112,113,113,113,113,113,113,113,112,111,109,109,110,106,100,100,99,100,99,100,100,100,99,99,101,100,99,100,100,100,99,99,99,98,98,98,98,98,96,95,92,97,99,99,98,98,98,99,100,100,99,103,106,106,106,105,106,105,105,105,106,106,108,117,124,124,124,124,124,125,126,126,127,127,128,127,126,126,126,126,126,127,128,128,128,130,130,130,130,131,131,131,127,126,127,126,124,125,126,125,125,125,125,126,127,127,125,125,125,125,125,125,126,125,126,126,128,128,128,128,128,128,126,127,127,126,127,127,128,128,128,128,128,127,125,124,125,125,124,125,125,124,124,124,124,125,125,126,126,125,124,123,123,123,122,123,124,124,108,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,102,102,102,102,100,102
